"No. Overall","No. in season","Title","Original air date","Cost of home ($)","Closing cost ($)","Rehab cost ($)","Sale price ($)","Profit/loss ($)","Contractor"
114,6,"Midcentury Money Pit",2019-09-05T05:00:00.000Z,565000,30000,95300,770000,79700,"Jeff Lawrence"
115,7,"It's a Dump",2019-09-12T05:00:00.000Z,465000,25000,100000,674900,84900,"Jeff Lawrence"
116,8,"Money Mirage",2019-09-19T05:00:00.000Z,725000,35000,104800,985000,120200,"Jeff Lawrence"
117,9,"Additional Problems",2019-09-26T05:00:00.000Z,558000,NaN,104000,NaN,NaN,"Jeff Lawrence"
118,10,"Cliff Makeover",2019-10-03T05:00:00.000Z,445000,25000,102700,650000,77300,"Israel Battres"
119,11,"Turf Wars",2019-10-10T05:00:00.000Z,745000,20000,90000,974900,59950,"Jeff Lawrence"
120,12,"Hoarding Potential",2019-10-17T05:00:00.000Z,400000,25000,106500,617000,42750,"Jeff Lawrence"
121,13,"Buyer's Remorse",2019-10-24T05:00:00.000Z,740000,25000,135600,1039000,163400,"Jeff Lawrence"
122,14,"Small House, Big Problems",2019-11-07T06:00:00.000Z,390000,25000,87300,575000,72700,"Israel Battres"
123,15,"Big House, Big Budget",2019-11-14T06:00:00.000Z,700000,35200,194800,1099000,169000,"Jeff Lawrence"
124,16,"Million-Dollar Cookie Cutter",2019-11-21T06:00:00.000Z,900000,NaN,173800,NaN,NaN,"Jeff Lawrence"
125,17,"Treasure Hunt",2019-12-05T06:00:00.000Z,540000,25000,93300,760000,101700,"Jeff Lawrence"
126,18,"Broken Flip",2019-12-12T06:00:00.000Z,475000,25000,92050,649900,57850,"Jeff Lawrence"
